Stage No.,Sub Stage,Name,Description,Before Stage (can be multipl,After Stage,Transition notes from this stage to next stage,Patient Facing (Y/N)?
0.1,,Pre-diagnosis," - Patient goes for tests, and mammogragm , Ultasound, US and biopsy. It can be either of the following- Mammogram + Biopsy, or US + bioposy or MMG+US_Biopsy",<start>,,,
1,1,Results Clinic,Patient is given diagnosis for the first time. This is a very sensitive step as the patient is hearing the news for the first time,prediagnosis,1.1,metastasis - curative treatment not possible,
,,,,,1.2,endocrine as first line treatment,
,,,,,2,surgery as first line teatment,
,,,,,3,chemo as first line treatemnt,
,,,,,1.3,further investigations needed before treatment decision,
,1.1,palliative,Metastasis has happened and hence curative treatment is not possible. ,1,<End of Pathways> ,,
,1.2,primary endocrine,"endocrine (anti hormone medication) as first line treatment . 
There are multiple reasons for chosing this treatment path, the most common one being patient may not be fit for surgery.
",1,1.2.1,Hormone therapy is effective on the patient,
,,,,,2,"If Horome therapy is not working, we directly go to surgery",
,1.2.1,Follow-up Clinic ,follow up to see if hormone treatment is working with a Specialist Clinician (this is not same as results clinic) ,1.2,"1.2.1.1, 1.2.1.2",treatment is working,
,1.2.1.1,Continue same endocrine treatment,"If, on follow up, cancer is reducing in size, then you are okay to continue on same medication ",1.2.1,1.2.1.1,Treatment is not working,
,1.2.1.2,"Change to another medication
","If, on follow up, cancer is getting bigger, then doctors will put you on another anti hormone medication, or discuss surgery with you (see stage 2)",1.2.1,"1.2.1.1, 2",Treatment is not working,
,1.3,Further investigation ,"Following review of previous work up in the MDM, patient is reviewed in results clinic  to discuss next step, which could be either to start treatment or for further investigation, ",1,1,,
2,2,Surgery,Master Stage for various surgery types. The patient may go through some of the surgies in the steps 2.1 or 2.2 etc. and end up in a psot surgery MDM where the next stpes are defined.,"1,3,1.2,1.2.1 ",post surgery MDM,occurence of surgery,
,,,,,,,
,,,,,,,
,2.1,Breast surgery,"Operations on the breast to remove cancer and, when possible, preserve appearance and function",1,1,,
,2.1.1,Breast Conservation Surgery ,"Operations which remove the cancer while keeping most of the breast, almost always followed by radiotherapy",1,1,,
,2.1.1.1,Wide local excision ,"Operation to removes the cancer with a margin of healthy tissue, keeping the rest of the breast, when the cancer to breast size ratio allows (for example, small cancer in large breast)",1,1,,
,2.1.1.2,Oncoplastic Breast Conservation Surgery ,Operations which combines cancer removal with plastic surgery techniques to improve breast shap.  ,1,1,,
,2.1.1.2.1,Therapeutic mammaplasty/mammoplasty,"Operation which  combines cancer removal, with breast-reduction techniques, allowing removal of bigger cancer from big/droopy breast. This may or may not be comined with reduction of the other breast to symmetrize ",1,1,,
,2.1.1.2.2,Chest wall perforator flap,"Operation which  combines cancer removal, and use of nearby skin and fat to fill the defect after cancer removal,  allowing removal of bigger cancer from small breast",1,1,,
,2.1.2,Mastectomy,"Operations which remove all the breast tissue, including the cancer",1,1,,
,2.1.2.1,Simple mastectomy no reconstruction,"Operation which remove all the breast tissue, including the cancer without rebuilding (going flat chest, with scar)",1,1,,
,2.1.2.2 ,Mastectomy and reconstruction,"Operation which remove all the breast tissue, including the cancer,  and rebuild the breast mound",,,,
,2.1.2.2.1,autologous reconstruction,Breast rebuilt using your own tissue from another body area,1,1,,
,2.1.2.2.2,Implant based reconstruction,Breast rebuilt using a silicone or saline implant,1,1,,
,2.2,Axillary surgery,"Surgery to assess or treat lymph nodes under the arm, helping guide breast cancer treatment decisions.",1,1,,
,2.2.1,No surgery,"No indication to remove or sample lymph nodes under the arm, because the risk of cancer spread is very low, usally in case of (non invasive breast cancer)",1,1,,
,2.2.2,Sentinel lymph node biopsy,Operation in which only the first 1-3 draining lymph nodes are removed  to check for cancer spread.,1,1,,
,2.2.3,Axillary Lymph node clearance,"Operation in which ""all"" underarm lymph nodes are removed to treat  known cancer spread, and assess cancer burden to plan further treatments.This is done when there is confimed cancer spread in the lymph nodes. ",1,1,,
,,,,,,,
3,3,"Neoadjuvant 
systemic 
treatment",Treatment given before surgery to shrink the cancer and improve surgical and long-term outcomes.,1,2,completion of chemotherapy,
,3.1,Neoadjuvant chemotherapy,Anti-cancer drugs given before surgery to kill cancer cells,1,2,,
,3.2,Neoadjuvant chemotherapy with immunotherapy,"Chemotherapy combined with immune-boosting treatment, before surgery, to help your body attack cancer cells, usually used in specifc breast cancer type (called triple negative cancer)",1,2,,
,3.3,Neoadjuvant chemotherapy with targeted therapy,"Chemotherapy combined with drugs targeting specific cancer features or pathways, before surgery, improving response to chemotherapy, and and reducing recurrence risk, usually used in specifc breast cancer type (e.g. blocking growth factor receptors in HER2 +ve cancer)",1,2,,
,3.4,Neoadjuvant endocrine treatment,"Hormone-blocking treatment, given before surgery, to slow growth of cancer if you are temporary unfit for surgery, or to shrink the cancer if you are unfit for traditional chemotherapy. This can be only used in hormone-sensitive breast cancer, ",1,2,,
4,,primary treatment (surgery +/-chemo complete,,,,primary treatment (surgery +/-chemo complete,
,4.1,no further treatment,,"2,3",5,,
,4.2.1,radiotherapy,,"2,3","5,4.2.2,4.2.3,4.2.4",completion of Radiotherapy,
,4.2.2,endocrine,,"2,3,4.2.1",5,,
,4.2.3,endocrine + Zolendronic acid,,"2,3,4.2.1",5,,
,4.2.4,zolendronic acid,,"2,3,4.2.1",5,,
,,,,,,,
,1.5,awaiting further investigations,,multiple,multiple,,
,,,,,,,
5,,Survival,,,,,
,,,,,,,
6,6,Further surgery ,"After pathology review of the first surgery, further surgery may be needed if there is suspicion of residual cancer in the breast or in the lymph nodes ",,,,
,6.1,Axilla lymph node clearance,"Operation in which ""all"" underarm lymph nodes are removed to treat  known cancer spread, and assess cancer burden to plan further treatments.This is done when there is confimed cancer spread in the lymph nodes. ",1,"1, 7",,
,6.2,Breast margin excision ,"operation in which breast  tissue (suspected to contain residual cancer), is removed.",1,"1, 6.2.1, 6.3, 7",,
,6.2.1,Further breast margin excision  ,"operation in which further tissue (suspected to contain residual cancer), is removed from the breast ","1, 6.2","1, 6.3, 7",,
,6.3,Completion mastectomy ,"operation in which all breast tissue is removed, as it is suscpected to contain residual cancer ","1, 6.2, 6.2.1","1, 7",,
7,7,No further surgery ,"No need for further operation, as there residual cancer is not suspected ",,,,
,7.1,No adjuvant treatment ,No need for further treatment after surgery,7,5,,
,7.2,Adjuvant treatment ,"Further treatment is needed after surgery, aiming mainly to reduce risk of recurrence ",7,5,,
,7.2.1,Adjuvant radiotherapy,"Treament with radiation to the breast (after breast conservation surgery), or to chest wall (after mastecomy, advanced cancer), or to other nodal areas (like supraclavicular or internal mammary areas)",7,"5, 8, 9",,
,7.2.2,No adjuvant radiotherapy,,7,"5, 9",,
,,,,,,,
8,8,adjuvant chemotherapy,"Systemic adminstration of medications to kill cancer cells. Chemotherapy may be combined with immunotherapy (for triple negative cancer), or targeted therapy (in HER2 positive cancer), or with zoledronic acid (for women with high risk breast cancer, to reduce risk of bone recurrence) ",1,"7.2.1, 5",,
,,,,1,5,,
9,9.1,No adjuvant  endocrine therapy,endocrine therapy not indciated in patient with non hormonally sensitive breast cancer,"7.2.1, 7.2.2, 8",5,,
,9.2,adjuvant  endocrine therapy only,endocrine therapy is indciated in patients with estrogen receptor positive breast cancer,"7.2.1, 7.2.2, 8",5,,
,9.3,"adjuvant  endocrine therap, and zoledronic acid","In postmenopasual women, zoledronic acid is indicated, in combination with endocrine therapy, to improve survival by inhibiting bone breakdown","7.2.1, 7.2.2, 8",5,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Tenets,,"1. A patient should one and only one stages at any given point in time. 
2. There should always be a previous stage and a next stage, unless there it's a <start> or and <End of Pathways> Stage
3. The description should be elaborate in a way - with the Text we shuold be able to uniquely map a stage for the patient by either patient inputs or reports uploaded. ",,,,,
,,,,,,,
Notes,,,,,,,
